	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02525||sulfurtransferase	rhodanese	360	20	1.85366E-81	87.25	1	F:GO:0004792	F:thiosulfate sulfurtransferase activity	EC:2.8.1.1	Thiosulfate sulfurtransferase	IPR001763 (SMART); IPR036873 (G3DSA:3.40.250.GENE3D); IPR001763 (PFAM); PTHR44542:SF11 (PANTHER); PTHR44542 (PANTHER); IPR001763 (PROSITE_PROFILES); cd00158 (CDD); IPR036873 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02530||hypothetical	MULTISPECIES: hypothetical protein	384	20	2.6641E-82	90.36	1	C:GO:0016021	C:integral component of membrane			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02535||hypothetical	potassium transporter	1737	20	0.0	84.21	3	P:GO:0006813; C:GO:0016021; P:GO:0055085	P:potassium ion transport; C:integral component of membrane; P:transmembrane transport			G3DSA:1.10.287.70 (GENE3D); IPR003148 (PFAM); G3DSA:3.40.50.720 (GENE3D); IPR013099 (PFAM); G3DSA:3.40.50.720 (GENE3D); PTHR43833:SF9 (PANTHER); PTHR43833 (PANTHER); IPR003148 (PROSITE_PROFILES); IPR003148 (PROSITE_PROFILES); SSF81324 (SUPERFAMILY); IPR036291 (SUPERFAMILY); IPR036291 (SUPERFAMILY)	P:GO:0006813	P:potassium ion transport
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02540|ispH|4-hydroxy-3-methylbut-2-enyl	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	945	20	0.0	95.44	7	P:GO:0016114; P:GO:0019288; F:GO:0046872; P:GO:0050992; F:GO:0051539; F:GO:0051745; P:GO:0055114	P:terpenoid biosynthetic process; P:isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway; F:metal ion binding; P:dimethylallyl diphosphate biosynthetic process; F:4 iron, 4 sulfur cluster binding; F:4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity; P:oxidation-reduction process	EC:1.17.1; EC:1.17.1.2	Acting on CH or CH(2) groups; Acting on CH or CH(2) groups	G3DSA:3.40.1010.20 (GENE3D); IPR003451 (PFAM); G3DSA:3.40.50.11270 (GENE3D); G3DSA:3.40.1010.20 (GENE3D); IPR003451 (TIGRFAM); IPR003451 (PANTHER); IPR003451 (HAMAP); IPR003451 (CDD)	P:GO:0019288; F:GO:0046872; P:GO:0050992; F:GO:0051745	P:isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway; F:metal ion binding; P:dimethylallyl diphosphate biosynthetic process; F:4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02545||RraA	ribonuclease E activity regulator RraA	486	20	3.05285E-114	83.81	6	F:GO:0008428; F:GO:0008948; P:GO:0043086; F:GO:0046872; F:GO:0047443; P:GO:0051252	F:ribonuclease inhibitor activity; F:oxaloacetate decarboxylase activity; P:negative regulation of catalytic activity; F:metal ion binding; F:4-hydroxy-4-methyl-2-oxoglutarate aldolase activity; P:regulation of RNA metabolic process	EC:4.1.3.17; EC:4.1.1.112; EC:1.1.1.38; EC:1.1.1.40	4-hydroxy-4-methyl-2-oxoglutarate aldolase; n/a; Malate dehydrogenase (oxaloacetate-decarboxylating); Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))	IPR005493 (PFAM); IPR010203 (TIGRFAM); G3DSA:3.50.30.40 (GENE3D); PTHR33254:SF7 (PANTHER); PTHR33254 (PANTHER); IPR005493 (CDD); IPR036704 (SUPERFAMILY)	F:GO:0008428; P:GO:0051252	F:ribonuclease inhibitor activity; P:regulation of RNA metabolic process
true	[INTERPRO, BLASTED]	EQU24_RS02550||hypothetical	hypothetical protein	207	20	1.3732E-40	94.6						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	EQU24_RS02555||hypothetical	hypothetical protein	1980	20	0.0	84.25						G3DSA:3.30.450.20 (GENE3D); cd18774 (CDD)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02560||U32	tRNA 5-hydroxyuridine modification protein YegQ	1341	20	0.0	95.1	2	P:GO:0006508; F:GO:0008233	P:proteolysis; F:peptidase activity			IPR032525 (PFAM); G3DSA:2.40.30.10 (GENE3D); IPR001539 (PFAM); PTHR30217 (PANTHER); PTHR30217:SF6 (PANTHER)	P:GO:0006508; F:GO:0008233	P:proteolysis; F:peptidase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02565||D-tyrosyl-tRNA(Tyr)	D-tyrosyl-tRNA(Tyr) deacylase	447	20	3.74477E-103	88.54	7	F:GO:0000049; C:GO:0005737; P:GO:0019478; F:GO:0043908; F:GO:0051499; F:GO:0106026; P:GO:0106074	F:tRNA binding; C:cytoplasm; P:D-amino acid catabolic process; F:Ser(Gly)-tRNA(Ala) hydrolase activity; F:D-aminoacyl-tRNA deacylase activity; F:Gly-tRNA(Ala) hydrolase activity; P:aminoacyl-tRNA metabolism involved in translational fidelity	EC:3.1.1.96; EC:3.1.1.1	D-aminoacyl-tRNA deacylase; Carboxylesterase	IPR003732 (TIGRFAM); IPR023509 (G3DSA:3.50.80.GENE3D); IPR003732 (PFAM); PTHR10472:SF5 (PANTHER); IPR003732 (PANTHER); IPR003732 (HAMAP); IPR023509 (SUPERFAMILY)	F:GO:0002161; C:GO:0005737; F:GO:0051499	F:aminoacyl-tRNA editing activity; C:cytoplasm; F:D-aminoacyl-tRNA deacylase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02570||DUF4124	DUF4124 domain-containing protein	822	20	0.0	81.99	1	F:GO:0016787	F:hydrolase activity			IPR016071 (SMART); IPR025392 (PFAM); IPR016071 (PFAM); IPR035437 (G3DSA:2.40.50.GENE3D); PTHR12302:SF3 (PANTHER); PTHR12302 (PANTHER); IPR016071 (PROSITE_PROFILES); SSF50199 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	EQU24_RS02575||hypothetical	DUF2063 domain-containing protein	768	20	6.84668E-154	80.33						G3DSA:1.10.150.690 (GENE3D); IPR018640 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	EQU24_RS02580||DUF692	DUF692 domain-containing protein	852	20	0.0	91.64						G3DSA:3.20.20.150 (GENE3D); IPR007801 (PFAM); IPR007801 (PANTHER); IPR007801 (HAMAP); IPR036237 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	EQU24_RS02585||hypothetical	hypothetical protein	333	20	4.72008E-70	73.66						mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02590|nth|endonuclease	endonuclease III	633	20	2.26429E-152	91.42	8	F:GO:0003677; F:GO:0004519; P:GO:0006284; F:GO:0019104; F:GO:0046872; F:GO:0051539; P:GO:0090305; F:GO:0140078	F:DNA binding; F:endonuclease activity; P:base-excision repair; F:DNA N-glycosylase activity; F:metal ion binding; F:4 iron, 4 sulfur cluster binding; P:nucleic acid phosphodiester bond hydrolysis; F:class I DNA-(apurinic or apyrimidinic site) endonuclease activity	EC:4.2.99.18	DNA-(apurinic or apyrimidinic site) lyase	IPR003265 (SMART); IPR003583 (SMART); IPR003651 (SMART); PIRSF001435 (PIRSF); IPR003265 (PFAM); IPR003651 (PFAM); IPR023170 (G3DSA:1.10.1670.GENE3D); IPR000445 (PFAM); G3DSA:1.10.340.30 (GENE3D); IPR005759 (TIGRFAM); PTHR10359 (PANTHER); IPR005759 (HAMAP); IPR003265 (CDD); IPR011257 (SUPERFAMILY)	F:GO:0003677; F:GO:0003824; F:GO:0003906; P:GO:0006281; P:GO:0006284; F:GO:0051539	F:DNA binding; F:catalytic activity; F:DNA-(apurinic or apyrimidinic site) endonuclease activity; P:DNA repair; P:base-excision repair; F:4 iron, 4 sulfur cluster binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02595||electron	electron transport complex subunit RsxE	690	20	7.55623E-124	89.44	3	C:GO:0005886; C:GO:0016021; P:GO:0022900	C:plasma membrane; C:integral component of membrane; P:electron transport chain			IPR010968 (TIGRFAM); IPR003667 (PFAM); IPR003667 (PIRSF); IPR010968 (PTHR30586:PANTHER); PTHR30586 (PANTHER); IPR010968 (HAMAP)	C:GO:0016020; P:GO:0022900	C:membrane; P:electron transport chain
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02600|rsxG|electron	electron transport complex subunit RsxG	645	20	5.02324E-138	78.08	5	C:GO:0005886; F:GO:0009055; F:GO:0010181; C:GO:0016021; P:GO:0022900	C:plasma membrane; F:electron transfer activity; F:FMN binding; C:integral component of membrane; P:electron transport chain			IPR007329 (SMART); IPR010209 (TIGRFAM); IPR010209 (PIRSF); IPR007329 (PFAM); IPR010209 (PANTHER); IPR010209 (HAMAP)	C:GO:0005886; F:GO:0009055; F:GO:0010181; C:GO:0016020; P:GO:0022900	C:plasma membrane; F:electron transfer activity; F:FMN binding; C:membrane; P:electron transport chain
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02605|rsxD|electron	electron transport complex subunit RsxD	1032	20	0.0	81.57	4	C:GO:0005886; C:GO:0016021; P:GO:0022900; P:GO:0055085	C:plasma membrane; C:integral component of membrane; P:electron transport chain; P:transmembrane transport			IPR004338 (PFAM); IPR011303 (TIGRFAM); IPR011303 (PTHR30578:PANTHER); IPR004338 (PANTHER); IPR011303 (HAMAP)	C:GO:0016020; C:GO:0016021; P:GO:0022900; P:GO:0055085	C:membrane; C:integral component of membrane; P:electron transport chain; P:transmembrane transport
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02610|rsxC|electron	electron transport complex subunit RsxC	1485	20	0.0	82.04	5	C:GO:0005886; F:GO:0009055; P:GO:0022900; F:GO:0046872; F:GO:0051539	C:plasma membrane; F:electron transfer activity; P:electron transport chain; F:metal ion binding; F:4 iron, 4 sulfur cluster binding			IPR026902 (PFAM); IPR010208 (TIGRFAM); IPR037225 (G3DSA:3.40.50.GENE3D); IPR009051 (G3DSA:1.10.1060.GENE3D); IPR019554 (PFAM); IPR011538 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); IPR010208 (PANTHER); IPR017896 (PROSITE_PROFILES); IPR017896 (PROSITE_PROFILES); IPR010208 (HAMAP); IPR037225 (SUPERFAMILY); IPR009051 (SUPERFAMILY)	F:GO:0009055; C:GO:0016020; F:GO:0051536; F:GO:0051539	F:electron transfer activity; C:membrane; F:iron-sulfur cluster binding; F:4 iron, 4 sulfur cluster binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02615|rsxB|electron	electron transport complex subunit RsxB	534	20	4.90801E-123	90.4	5	C:GO:0005886; F:GO:0009055; P:GO:0022900; F:GO:0046872; F:GO:0051539	C:plasma membrane; F:electron transfer activity; P:electron transport chain; F:metal ion binding; F:4 iron, 4 sulfur cluster binding			G3DSA:1.10.15.40 (GENE3D); IPR016463 (PIRSF); IPR007202 (PFAM); PF14697 (PFAM); G3DSA:3.30.70.20 (GENE3D); IPR010207 (TIGRFAM); PTHR42859 (PANTHER); IPR016463 (PTHR42859:PANTHER); IPR007202 (PROSITE_PROFILES); IPR017896 (PROSITE_PROFILES); IPR017896 (PROSITE_PROFILES); IPR010207 (HAMAP); SSF54862 (SUPERFAMILY)	C:GO:0005886; F:GO:0009055; P:GO:0022900; F:GO:0051536	C:plasma membrane; F:electron transfer activity; P:electron transport chain; F:iron-sulfur cluster binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02620|rsxA|electron	electron transport complex subunit RsxA	582	20	5.9138E-121	95.51	3	C:GO:0005886; C:GO:0016021; P:GO:0022900	C:plasma membrane; C:integral component of membrane; P:electron transport chain			IPR011293 (TIGRFAM); IPR003667 (PIRSF); IPR003667 (PFAM); PTHR30335:SF0 (PANTHER); PTHR30335 (PANTHER); IPR011293 (HAMAP)	C:GO:0016020; P:GO:0022900	C:membrane; P:electron transport chain
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02625||bifunctional	carbonic anhydrase	2214	20	0.0	84.53	5	F:GO:0004089; F:GO:0008270; F:GO:0008271; C:GO:0016021; P:GO:1902358	F:carbonate dehydratase activity; F:zinc ion binding; F:secondary active sulfate transmembrane transporter activity; C:integral component of membrane; P:sulfate transmembrane transport	EC:4.2.1.1	Carbonic anhydrase	IPR001765 (SMART); IPR036874 (G3DSA:3.40.1050.GENE3D); IPR011547 (PFAM); IPR001765 (PFAM); PTHR11814:SF215 (PANTHER); IPR001902 (PANTHER); cd03378 (CDD); IPR036874 (SUPERFAMILY)	F:GO:0004089; F:GO:0008270; F:GO:0008271; P:GO:0008272; F:GO:0015116; C:GO:0016020; C:GO:0016021; P:GO:0055085	F:carbonate dehydratase activity; F:zinc ion binding; F:secondary active sulfate transmembrane transporter activity; P:sulfate transport; F:sulfate transmembrane transporter activity; C:membrane; C:integral component of membrane; P:transmembrane transport
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02630|gmd|GDP-mannose	GDP-mannose 4,6-dehydratase	1122	20	0.0	96.6	3	F:GO:0008446; P:GO:0019673; F:GO:0070401	F:GDP-mannose 4,6-dehydratase activity; P:GDP-mannose metabolic process; F:NADP+ binding	EC:4.2.1.47	GDP-mannose 4,6-dehydratase	G3DSA:3.90.25.10 (GENE3D); G3DSA:3.40.50.720 (GENE3D); IPR016040 (PFAM); IPR006368 (TIGRFAM); PTHR43715 (PANTHER); PTHR43715:SF1 (PANTHER); IPR006368 (HAMAP); cd05260 (CDD); IPR036291 (SUPERFAMILY)	F:GO:0008446; P:GO:0019673	F:GDP-mannose 4,6-dehydratase activity; P:GDP-mannose metabolic process
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02635||GDP-L-fucose	GDP-L-fucose synthase	978	20	0.0	93.39	5	F:GO:0016853; P:GO:0042351; F:GO:0050577; P:GO:0055114; F:GO:0070401	F:isomerase activity; P:'de novo' GDP-L-fucose biosynthetic process; F:GDP-L-fucose synthase activity; P:oxidation-reduction process; F:NADP+ binding	EC:1.1.1.271	GDP-L-fucose synthase	G3DSA:3.40.50.720 (GENE3D); IPR001509 (PFAM); G3DSA:3.90.25.10 (GENE3D); PTHR43238 (PANTHER); PTHR43238:SF3 (PANTHER); IPR028614 (HAMAP); IPR028614 (CDD); IPR036291 (SUPERFAMILY)	F:GO:0003824; P:GO:0009226; F:GO:0016491; F:GO:0050662	F:catalytic activity; P:nucleotide-sugar biosynthetic process; F:oxidoreductase activity; F:coenzyme binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02640|secA|preprotein	preprotein translocase subunit SecA	2721	20	0.0	93.56	7	F:GO:0005524; C:GO:0005737; C:GO:0005886; P:GO:0006605; P:GO:0017038; F:GO:0046872; P:GO:0065002	F:ATP binding; C:cytoplasm; C:plasma membrane; P:protein targeting; P:protein import; F:metal ion binding; P:intracellular protein transmembrane transport			IPR000185 (PRINTS); IPR011115 (SMART); IPR011130 (SMART); G3DSA:3.90.1440.10 (GENE3D); IPR011130 (PFAM); G3DSA:3.40.50.300 (GENE3D); G3DSA:1.10.3060.10 (GENE3D); IPR004027 (PFAM); IPR011116 (PFAM); IPR000185 (TIGRFAM); G3DSA:3.40.50.300 (GENE3D); IPR011115 (PFAM); mobidb-lite (MOBIDB_LITE); IPR000185 (PANTHER); IPR000185 (HAMAP); IPR014018 (PROSITE_PROFILES); cd17928 (CDD); cd18803 (CDD); IPR027417 (SUPERFAMILY); IPR027417 (SUPERFAMILY); IPR036670 (SUPERFAMILY); IPR036266 (SUPERFAMILY)	F:GO:0005524; P:GO:0006605; P:GO:0006886; C:GO:0016020; P:GO:0017038	F:ATP binding; P:protein targeting; P:intracellular protein transport; C:membrane; P:protein import
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02645||glycogen/starch/alpha-glucan	glycogen/starch/alpha-glucan phosphorylase	2505	20	0.0	92.84	5	P:GO:0005975; F:GO:0008184; F:GO:0030170; F:GO:0102250; F:GO:0102499	P:carbohydrate metabolic process; F:glycogen phosphorylase activity; F:pyridoxal phosphate binding; F:linear malto-oligosaccharide phosphorylase activity; F:SHG alpha-glucan phosphorylase activity	EC:2.4.1.1	Glycogen phosphorylase	IPR011833 (TIGRFAM); IPR000811 (PIRSF); G3DSA:3.40.50.2000 (GENE3D); G3DSA:3.40.50.2000 (GENE3D); IPR000811 (PFAM); PTHR11468:SF3 (PANTHER); IPR000811 (PANTHER); cd04300 (CDD); SSF53756 (SUPERFAMILY)	F:GO:0004645; P:GO:0005975; F:GO:0008184; F:GO:0030170	F:1,4-alpha-oligoglucan phosphorylase activity; P:carbohydrate metabolic process; F:glycogen phosphorylase activity; F:pyridoxal phosphate binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02650|trmL|tRNA	tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL	471	20	9.44226E-112	88.3	5	F:GO:0003723; C:GO:0005737; F:GO:0008175; F:GO:0008757; P:GO:0030488	F:RNA binding; C:cytoplasm; F:tRNA methyltransferase activity; F:S-adenosylmethionine-dependent methyltransferase activity; P:tRNA methylation			IPR016914 (TIGRFAM); IPR029026 (G3DSA:3.40.1280.GENE3D); IPR016914 (PIRSF); IPR001537 (PFAM); IPR016914 (PANTHER); IPR016914 (HAMAP); cd18094 (CDD); IPR029028 (SUPERFAMILY)	P:GO:0001510; F:GO:0003723; P:GO:0006396; F:GO:0008168; F:GO:0008173	P:RNA methylation; F:RNA binding; P:RNA processing; F:methyltransferase activity; F:RNA methyltransferase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02655||NAD(P)-dependent	NAD(P)-dependent glycerol-3-phosphate dehydrogenase	999	20	0.0	87.85	9	F:GO:0004367; P:GO:0005975; P:GO:0006650; P:GO:0008654; C:GO:0009331; P:GO:0046167; P:GO:0046168; F:GO:0051287; P:GO:0055114	F:glycerol-3-phosphate dehydrogenase [NAD+] activity; P:carbohydrate metabolic process; P:glycerophospholipid metabolic process; P:phospholipid biosynthetic process; C:glycerol-3-phosphate dehydrogenase complex; P:glycerol-3-phosphate biosynthetic process; P:glycerol-3-phosphate catabolic process; F:NAD binding; P:oxidation-reduction process	EC:1.1.1.8; EC:1.1.1.94	Glycerol-3-phosphate dehydrogenase (NAD(+)); Glycerol-3-phosphate dehydrogenase (NAD(P)(+))	IPR006168 (PRINTS); IPR011128 (PFAM); IPR013328 (G3DSA:1.10.1040.GENE3D); G3DSA:3.40.50.720 (GENE3D); IPR006168 (PIRSF); IPR006109 (PFAM); PTHR11728 (PANTHER); PTHR11728:SF1 (PANTHER); IPR006168 (HAMAP); IPR036291 (SUPERFAMILY); IPR008927 (SUPERFAMILY)	F:GO:0004367; P:GO:0005975; P:GO:0006072; C:GO:0009331; F:GO:0016491; F:GO:0016616; P:GO:0046168; F:GO:0051287; P:GO:0055114	F:glycerol-3-phosphate dehydrogenase [NAD+] activity; P:carbohydrate metabolic process; P:glycerol-3-phosphate metabolic process; C:glycerol-3-phosphate dehydrogenase complex; F:oxidoreductase activity; F:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; P:glycerol-3-phosphate catabolic process; F:NAD binding; P:oxidation-reduction process
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02660|secB|protein-export	protein-export chaperone SecB	471	20	3.88119E-112	90.93	5	C:GO:0005737; P:GO:0006457; P:GO:0015031; F:GO:0051082; P:GO:0051262	C:cytoplasm; P:protein folding; P:protein transport; F:unfolded protein binding; P:protein tetramerization			IPR003708 (PRINTS); IPR003708 (TIGRFAM); IPR003708 (PFAM); IPR035958 (G3DSA:3.10.420.GENE3D); PTHR36918:SF1 (PANTHER); IPR003708 (PANTHER); IPR003708 (HAMAP); IPR035958 (SUPERFAMILY)	P:GO:0015031; F:GO:0051082; P:GO:0051262	P:protein transport; F:unfolded protein binding; P:protein tetramerization
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02665||rhodanese-like	rhodanese-like domain-containing protein	441	20	8.45888E-103	86.65	2	C:GO:0016021; F:GO:0016740	C:integral component of membrane; F:transferase activity			IPR001763 (SMART); IPR036873 (G3DSA:3.40.250.GENE3D); IPR001763 (PFAM); PTHR43031:SF3 (PANTHER); PTHR43031 (PANTHER); IPR001763 (PROSITE_PROFILES); cd00158 (CDD); IPR036873 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02670||winged	ArsR family transcriptional regulator	315	20	3.0019E-70	91.83	2	F:GO:0003700; P:GO:0006355	F:DNA-binding transcription factor activity; P:regulation of transcription, DNA-templated			IPR001845 (PRINTS); IPR001845 (SMART); IPR036388 (G3DSA:1.10.10.GENE3D); IPR001845 (PFAM); PTHR33154:SF28 (PANTHER); PTHR33154 (PANTHER); IPR001845 (PROSITE_PROFILES); IPR011991 (CDD); IPR036390 (SUPERFAMILY)	F:GO:0003700; P:GO:0006355	F:DNA-binding transcription factor activity; P:regulation of transcription, DNA-templated
true	[INTERPRO, BLASTED]	EQU24_RS02675||hypothetical	hypothetical protein	357	3	2.68593E-79	94.47						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	EQU24_RS02680||peptidoglycan	peptidoglycan DD-metalloendopeptidase family protein	1194	20	0.0	78.87						IPR016047 (PFAM); IPR011055 (G3DSA:2.70.70.GENE3D); PTHR21666 (PANTHER); PTHR21666:SF265 (PANTHER); IPR011055 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02685||S41	S41 family peptidase	1317	20	0.0	91.52	4	F:GO:0005515; P:GO:0006508; F:GO:0008236; C:GO:0016021	F:protein binding; P:proteolysis; F:serine-type peptidase activity; C:integral component of membrane			IPR005151 (SMART); IPR001478 (SMART); G3DSA:3.90.226.10 (GENE3D); IPR005151 (PFAM); IPR036034 (G3DSA:2.30.42.GENE3D); G3DSA:3.30.750.44 (GENE3D); IPR004447 (TIGRFAM); IPR041489 (PFAM); mobidb-lite (MOBIDB_LITE); PTHR32060 (PANTHER); IPR001478 (PROSITE_PROFILES); cd00988 (CDD); IPR004447 (CDD); IPR036034 (SUPERFAMILY); IPR029045 (SUPERFAMILY)	F:GO:0005515; P:GO:0006508; F:GO:0008236	F:protein binding; P:proteolysis; F:serine-type peptidase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02690||divergent	divergent polysaccharide deacetylase family protein	939	20	0.0	71.54	2	F:GO:0003824; P:GO:0005975	F:catalytic activity; P:carbohydrate metabolic process			G3DSA:3.20.20.370 (GENE3D); IPR006837 (PFAM); IPR006837 (PANTHER); IPR006837 (CDD); IPR011330 (SUPERFAMILY)	F:GO:0003824; P:GO:0005975	F:catalytic activity; P:carbohydrate metabolic process
true	[INTERPRO, BLASTED]	EQU24_RS02695||hypothetical	hypothetical protein	282	2	3.6472E-63	86.54						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02700||LLM	LLM class flavin-dependent oxidoreductase	1239	20	0.0	62.46	3	F:GO:0004497; F:GO:0016705; P:GO:0055114	F:monooxygenase activity; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; P:oxidation-reduction process			IPR011251 (PFAM); IPR016215 (PIRSF); IPR036661 (G3DSA:3.20.20.GENE3D); PTHR30011:SF16 (PANTHER); PTHR30011 (PANTHER); IPR036661 (SUPERFAMILY)	F:GO:0004497; F:GO:0016705; P:GO:0055114	F:monooxygenase activity; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; P:oxidation-reduction process
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02705||TonB-dependent	TonB-dependent receptor	2562	20	0.0	81.07	2	C:GO:0009279; C:GO:0016021	C:cell outer membrane; C:integral component of membrane			IPR036942 (G3DSA:2.40.170.GENE3D); IPR012910 (PFAM); IPR037066 (G3DSA:2.170.130.GENE3D); IPR000531 (PFAM); IPR007038 (PFAM); PTHR30069:SF36 (PANTHER); IPR039426 (PANTHER); SSF56935 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02710||N-acetyl-gamma-glutamyl-phosphate	N-acetyl-gamma-glutamyl-phosphate reductase	1032	20	0.0	89.37	6	F:GO:0003942; C:GO:0005737; P:GO:0006526; F:GO:0046983; F:GO:0051287; P:GO:0055114	F:N-acetyl-gamma-glutamyl-phosphate reductase activity; C:cytoplasm; P:arginine biosynthetic process; F:protein dimerization activity; F:NAD binding; P:oxidation-reduction process	EC:1.2.1.38	N-acetyl-gamma-glutamyl-phosphate reductase	IPR000534 (SMART); G3DSA:3.30.360.10 (GENE3D); G3DSA:3.40.50.720 (GENE3D); IPR000706 (TIGRFAM); IPR012280 (PFAM); IPR000534 (PFAM); PTHR32338:SF8 (PANTHER); PTHR32338 (PANTHER); IPR000706 (HAMAP); SSF55347 (SUPERFAMILY); IPR036291 (SUPERFAMILY)	F:GO:0003942; P:GO:0006526; P:GO:0008652; F:GO:0016620; F:GO:0046983; F:GO:0051287; P:GO:0055114	F:N-acetyl-gamma-glutamyl-phosphate reductase activity; P:arginine biosynthetic process; P:cellular amino acid biosynthetic process; F:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; F:protein dimerization activity; F:NAD binding; P:oxidation-reduction process
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	EQU24_RS02715|erpA|iron-sulfur	iron-sulfur cluster insertion protein ErpA	333	20	9.52163E-74	98.05	5	F:GO:0005198; F:GO:0005506; P:GO:0016226; F:GO:0051536; P:GO:0097428	F:structural molecule activity; F:iron ion binding; P:iron-sulfur cluster assembly; F:iron-sulfur cluster binding; P:protein maturation by iron-sulfur cluster transfer			IPR016092 (TIGRFAM); IPR000361 (PFAM); IPR035903 (G3DSA:2.60.300.GENE3D); PTHR43011:SF2 (PANTHER); PTHR43011 (PANTHER); IPR023063 (HAMAP); IPR035903 (SUPERFAMILY)	F:GO:0005198; F:GO:0051536; P:GO:0097428	F:structural molecule activity; F:iron-sulfur cluster binding; P:protein maturation by iron-sulfur cluster transfer
